09/13/21;09:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:00AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:05AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:10AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;10:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:00AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:05AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:10AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;11:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;12:00PM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;12:05PM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
